Date,Open,High,Low,Close,Volume,Adj Close
2008-11-19,168.00,172.90,160.00,161.40,9083000,145.26
2008-11-18,163.00,171.50,158.10,164.35,9029100,147.92
2008-11-17,173.60,176.90,157.30,165.00,13005300,148.50
2008-11-14,190.00,196.00,170.00,173.55,11718400,156.20
2008-11-12,190.00,193.45,180.10,185.70,10053300,167.13
2008-11-11,211.30,212.00,190.00,191.75,9472000,172.58
2008-11-10,192.10,216.40,192.10,214.25,10341800,192.83
2008-11-07,184.00,195.35,176.05,191.15,12510900,172.04
2008-11-06,209.00,209.00,183.35,188.00,11881500,169.20
2008-11-05,244.95,254.80,212.20,213.00,6859400,191.70
2008-11-04,224.50,245.50,215.60,239.25,7743600,215.33
2008-11-03,223.00,229.90,218.00,224.65,5740500,202.19
2008-10-31,192.15,214.90,192.15,213.65,7991000,192.29
2008-10-29,187.80,193.00,177.25,187.80,6462800,169.02
2008-10-28,180.00,192.00,175.00,182.50,1924800,164.25
2008-10-27,175.10,182.00,150.00,169.30,7841700,152.37
2008-10-24,201.00,204.00,173.15,177.00,9590900,159.30
2008-10-23,230.00,235.00,205.00,208.40,9650200,187.56
2008-10-22,266.85,274.50,238.05,239.00,4829600,215.11
2008-10-21,254.90,281.75,254.50,278.55,6186400,250.70
2008-10-20,254.95,269.40,246.00,251.70,6606900,226.54
2008-10-17,270.10,279.00,243.15,244.20,6153500,219.79
2008-10-16,258.95,284.70,250.00,269.00,5986600,242.11
2008-10-15,298.05,298.05,270.00,272.00,5133700,244.81
2008-10-14,318.45,328.50,301.75,302.60,3898500,272.35
2008-10-13,290.05,314.85,290.05,302.50,3969100,272.26
2008-10-10,317.40,319.70,280.10,281.50,6026800,253.36
2008-10-08,347.00,349.00,316.05,340.30,5347900,306.28
2008-10-07,400.00,400.00,340.55,358.65,5660200,322.79
2008-10-06,384.70,384.70,339.50,361.00,8152500,324.91
2008-10-03,438.35,438.35,390.05,392.00,5797900,352.81
2008-10-01,430.00,446.90,425.15,439.00,2547300,395.11
2008-09-30,440.00,442.00,412.65,426.00,4314500,383.41
2008-09-29,462.00,466.95,435.30,447.45,1851100,402.71
2008-09-26,480.00,484.90,458.05,458.80,1999700,412.93
2008-09-25,500.00,500.00,471.00,485.00,3346300,436.51
2008-09-24,470.00,488.00,470.00,487.00,1980700,438.31
2008-09-23,482.10,490.25,468.55,470.00,2443300,423.01
2008-09-22,489.80,503.40,479.15,491.10,3056300,442.00
2008-09-19,465.00,485.00,452.25,483.00,3079600,434.71
2008-09-18,464.10,467.40,438.65,460.50,6395800,414.46
2008-09-17,490.00,494.90,467.10,470.00,3999500,423.01
2008-09-16,488.00,489.00,476.00,486.15,2941400,437.55
2008-09-15,518.00,518.00,487.45,498.90,2889600,449.02
2008-09-12,540.00,540.00,520.50,522.35,2609200,470.13
2008-09-11,537.00,537.00,522.50,525.85,3130800,473.28
2008-09-10,560.50,565.75,530.00,535.00,4467400,481.51
2008-09-09,568.00,571.95,560.00,564.40,1947900,507.97
2008-09-08,574.75,579.40,567.15,569.00,1917300,512.11
2008-09-05,578.50,578.50,555.00,560.50,4525500,504.46
2008-09-04,584.95,591.00,578.00,582.70,1214000,524.44
2008-09-02,589.95,593.95,580.25,588.50,2064200,529.66
2008-09-01,598.00,598.00,577.00,583.65,2123300,525.30
2008-08-29,676.00,676.00,581.00,600.00,4656900,540.01
2008-08-28,589.00,589.00,567.15,568.90,3240500,512.02
2008-08-27,577.00,588.60,577.00,582.50,3068100,524.26
2008-08-26,584.00,584.00,570.30,578.00,3105700,520.21
2008-08-25,601.00,604.50,580.00,580.45,3248100,522.42
2008-08-22,595.00,597.40,578.40,591.60,5814000,532.45
2008-08-21,607.80,613.00,582.00,585.85,3434100,527.28
2008-08-20,603.00,616.00,602.00,605.25,2465300,544.74
2008-08-19,619.00,619.00,592.30,600.55,2863000,540.51
2008-08-18,617.00,621.05,599.00,604.20,2153000,543.79
2008-08-14,647.70,647.70,608.00,616.65,2478200,555.00
2008-08-13,604.90,624.80,600.00,611.25,3238900,550.14
2008-08-12,652.00,664.70,598.05,608.50,6062000,547.66
2008-08-11,656.00,665.70,642.10,642.80,2067200,578.53
2008-08-08,635.00,656.00,635.00,652.00,2048800,586.81
2008-08-07,645.95,665.90,636.10,646.25,4008000,581.64
2008-08-06,683.35,688.00,641.80,646.05,4246700,581.46
2008-08-05,695.00,698.00,655.10,674.10,6588700,606.70
2008-08-04,679.85,700.00,669.00,688.35,3266300,619.53
2008-08-01,652.35,683.90,645.05,681.25,4272800,613.14
2008-07-31,629.00,662.80,629.00,654.00,4436600,588.61
2008-07-30,595.00,634.50,595.00,634.00,4079700,570.61
2008-07-29,605.00,605.00,577.80,584.50,2660100,526.06
2008-07-28,614.50,624.00,602.10,603.25,2273700,542.94
2008-07-25,625.00,639.85,609.00,619.85,4105300,557.88
2008-07-24,670.00,680.00,619.60,631.90,4888700,568.72
2008-07-23,641.90,675.95,640.25,667.00,5605100,600.31
2008-07-22,614.90,636.40,590.30,627.00,4224100,564.31
2008-07-21,615.00,615.00,581.50,598.00,1998500,538.21
2008-07-18,600.15,611.00,581.00,587.00,3742300,528.31
2008-07-17,645.00,665.40,597.00,608.05,4390000,547.26
2008-07-16,656.00,662.90,617.15,634.05,2749400,570.66
2008-07-15,664.25,678.50,642.50,643.70,1656800,579.34
2008-07-14,646.00,699.90,646.00,690.90,2117500,621.83
2008-07-11,705.40,706.50,658.20,668.10,2306600,601.30
2008-07-10,681.10,707.90,670.00,696.00,2554900,626.42
2008-07-09,659.90,679.90,659.90,677.50,2030800,609.76
2008-07-08,645.00,662.00,630.00,654.00,1825500,588.61
2008-07-07,644.50,666.00,644.50,653.10,2899300,587.80
2008-07-04,656.00,667.10,626.40,634.25,4512000,570.84
2008-07-03,741.00,741.50,651.00,656.15,4082900,590.55
2008-07-02,715.00,750.00,673.50,748.00,3758500,673.22
2008-07-01,722.50,745.00,690.75,691.00,2913300,621.92
2008-06-30,723.15,744.00,715.10,727.00,3323500,654.32
2008-06-27,752.25,784.70,711.15,723.15,7706800,650.85
2008-06-26,745.00,763.90,730.90,752.25,3147200,677.04
2008-06-25,698.90,745.95,680.00,743.40,2554500,669.08
2008-06-24,745.70,759.70,691.25,695.00,2051800,625.52
2008-06-23,741.00,795.00,730.40,745.70,1798400,671.15
2008-06-20,825.00,825.00,771.55,779.70,1968100,701.75
2008-06-19,815.00,832.00,806.50,816.15,1983900,734.55
2008-06-18,853.00,860.90,818.10,821.00,1580400,738.92
2008-06-17,847.00,855.90,835.50,853.00,1899600,767.72
2008-06-16,849.80,865.00,845.15,847.00,1214100,762.32
2008-06-13,860.00,863.90,836.10,837.60,2217500,753.86
2008-06-12,831.00,860.00,807.70,859.80,2208700,773.84
2008-06-11,827.50,848.00,825.30,844.00,1608200,759.62
2008-06-10,832.50,832.50,805.00,824.00,1922800,741.62
2008-06-09,819.40,833.00,790.00,829.00,2546400,746.12
2008-06-06,853.00,856.80,816.25,829.90,2101100,746.93
2008-06-05,820.00,849.00,801.00,844.50,2958100,760.07
2008-06-04,867.00,875.75,810.10,816.10,3464800,734.51
2008-06-03,860.00,869.75,844.00,862.20,1986800,776.00
2008-06-02,906.00,915.95,864.00,866.00,1629300,779.42
2008-05-30,905.40,925.00,894.00,903.00,2067500,812.72
2008-05-29,908.00,922.80,890.00,899.00,3123200,809.12
2008-05-28,866.00,909.40,856.40,908.00,1861000,817.22
2008-05-27,882.30,889.00,853.60,868.15,1579800,781.35
2008-05-26,895.00,895.00,865.25,877.15,2097000,789.45
2008-05-23,903.25,917.00,890.50,897.50,2729500,807.77
2008-05-22,914.35,919.70,901.20,915.00,2263200,823.52
2008-05-21,891.00,925.50,884.00,922.15,3018100,829.96
2008-05-20,891.00,909.75,885.00,894.00,1726500,804.62
2008-05-16,882.00,894.90,871.50,892.10,1877400,802.91
2008-05-15,881.00,902.00,805.50,880.55,2855700,792.51
2008-05-14,842.35,893.40,842.35,890.10,3357900,801.11
2008-05-13,845.85,868.00,844.00,851.00,2002800,765.92
2008-05-12,837.00,847.00,804.80,846.90,2029900,762.23
2008-05-09,850.00,857.80,833.00,842.00,2875700,757.82
2008-05-08,828.00,849.40,801.00,848.90,3343700,764.03
2008-05-07,820.70,839.00,811.00,829.80,3883100,746.84
2008-05-06,793.00,824.40,793.00,817.50,2298200,735.77
2008-05-05,804.00,813.40,786.25,805.00,1535200,724.52
2008-05-02,821.00,827.00,792.00,792.00,1475400,712.82
2008-04-30,808.70,823.60,800.10,814.00,1941500,732.62
2008-04-29,783.00,820.00,779.00,810.60,3190600,729.56
2008-04-28,813.40,813.40,720.15,781.00,1953400,702.92
2008-04-25,775.70,805.90,770.20,802.40,1963000,722.18
2008-04-24,800.00,800.00,770.50,771.25,1899200,694.14
2008-04-23,774.50,803.70,756.20,793.00,3232200,713.72
2008-04-22,777.00,788.00,765.15,782.00,1684500,703.82
2008-04-21,730.00,779.00,722.15,778.00,2757900,700.22
2008-04-17,700.00,722.00,695.00,721.00,1969800,648.92
2008-04-16,699.80,709.45,687.30,692.30,1070800,623.09
2008-04-15,694.25,700.00,675.25,695.95,956400,626.37
2008-04-11,688.80,702.75,672.30,694.50,2063900,625.07
2008-04-10,671.00,689.00,670.00,684.60,1519300,616.15
2008-04-09,662.00,684.00,653.25,679.00,2042900,611.11
2008-04-08,680.50,680.50,653.70,655.00,1560500,589.51
2008-04-07,666.00,685.00,645.15,679.00,1798500,611.11
2008-04-04,658.50,680.40,655.05,659.15,2773100,593.25
2008-04-03,650.00,668.00,638.55,663.45,1977900,597.12
2008-04-02,685.00,690.00,643.50,645.00,1831800,580.51
2008-04-01,699.00,702.00,658.85,671.00,1316600,603.91
2008-03-31,716.00,717.00,688.15,689.05,2085600,620.16
2008-03-28,659.90,724.95,659.90,717.10,3791300,645.41
2008-03-27,659.00,670.00,642.15,655.00,2466600,589.51
