Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2011,288.10,290.55,275.00,276.30,280.784862071245353722,1784762,21790,501134152.00,502880,28.18,15.55,-11.80
30-June-2011,278.45,278.45,273.00,273.95,275.326807742673841515,454365,7569,125098865.00,139025,30.60,5.45,-4.50
29-June-2011,287.00,288.35,276.70,278.45,281.630937728607535251,576862,8580,162462186.00,165852,28.75,11.65,-8.55
28-June-2011,287.00,289.25,281.50,284.50,284.783424833785498876,687064,10332,195664439.00,151325,22.02,7.75,-2.50
27-June-2011,287.15,297.40,283.40,284.15,289.532417700053028089,3124759,32453,904719028.00,1246806,39.90,14.00,-3.00
24-June-2011,268.70,274.80,268.70,272.80,272.335592977825017958,684916,12354,186527005.00,267560,39.06,6.10,4.10
23-June-2011,260.00,269.25,258.20,264.55,264.774025243264743832,515385,10213,136460561.00,167083,32.42,11.05,4.55
22-June-2011,258.75,263.95,252.15,261.00,259.965960149729439678,618716,10548,160845099.00,154695,25.00,11.80,2.25
21-June-2011,257.10,261.50,248.00,255.75,255.088398339648577035,774053,13048,197451940.00,181349,23.43,13.50,-1.35
20-June-2011,266.80,269.20,255.50,256.10,259.785034843754404174,603121,9464,156681810.00,242518,40.21,13.70,-10.70
17-June-2011,267.95,268.00,263.10,265.10,265.346536947624826579,345259,5437,91613280.00,110661,32.05,4.90,-2.85
16-June-2011,268.80,270.90,266.80,269.25,269.142314523408073648,377797,5128,101681159.00,115245,30.50,4.10,0.45
15-June-2011,271.70,271.70,266.00,268.30,268.550630250551330938,271162,5201,72820726.00,63508,23.42,5.70,-3.40
14-June-2011,270.50,273.70,269.10,270.05,271.582815197756464635,400796,6140,108849306.00,131954,32.92,4.60,-0.45
13-June-2011,266.30,270.35,264.50,268.95,268.810832279609635897,616860,6719,165818650.00,312121,50.60,5.85,2.65
10-June-2011,266.50,268.00,264.80,266.90,266.461902106073885214,414183,7029,110363990.00,119624,28.88,3.20,0.40
9-June-2011,269.20,271.00,265.00,265.20,267.185518564082187803,654355,10900,174834180.00,259669,39.68,6.00,-4.00
8-June-2011,274.00,274.25,269.10,270.05,271.213395807540883856,663954,10553,180073219.00,346831,52.24,5.15,-3.95
7-June-2011,275.50,277.50,272.75,276.50,275.349616811512342905,389495,5829,107247299.00,84446,21.68,4.75,1.00
