Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2008,788.00,809.80,777.00,804.65,793.923815969605143744,325055,2201,258068906.00,275620,84.79,32.80,16.65
30-July-2008,744.00,788.50,744.00,782.30,774.419435796429252176,62956,2103,48754350.00,15556,24.71,44.50,38.30
29-July-2008,750.00,760.00,728.00,736.15,744.453975087012273310,21836,815,16255897.00,5723,26.21,32.00,-13.85
28-July-2008,746.35,770.95,746.35,760.35,764.833663366336633663,41410,840,31671762.00,24273,58.62,24.60,14.00
25-July-2008,750.00,765.00,741.45,757.75,753.484217926186291739,14225,708,10718313.00,4500,31.63,23.55,7.75
24-July-2008,750.00,772.00,738.00,762.05,761.799376026272577996,30450,974,23196791.00,9853,32.36,34.00,12.05
23-July-2008,747.00,755.90,734.15,747.80,748.399983733886381196,49182,1154,36807808.00,20244,41.16,21.75,0.80
22-July-2008,716.00,742.00,703.00,725.95,723.544180641633248268,43888,1631,31754907.00,5833,13.29,39.00,9.95
21-July-2008,682.00,729.00,679.90,716.75,701.156697104350798378,20479,1161,14358988.00,6498,31.73,49.10,34.75
18-July-2008,665.00,684.90,653.00,680.15,666.588699061355311355,69888,1002,46586551.00,47478,67.93,31.90,15.15
17-July-2008,652.75,667.00,642.00,658.90,658.194799199876904139,116982,1398,76996944.00,89011,76.09,25.00,6.15
16-July-2008,652.00,664.00,630.15,638.75,646.515185779868382369,44219,1105,28588255.00,18088,40.91,33.85,-13.25
15-July-2008,654.00,659.00,644.00,653.55,653.267855664983861623,24166,734,15786871.00,10407,43.06,15.00,-0.45
14-July-2008,668.20,679.00,655.00,658.20,665.406361122086131963,70868,1469,47156018.00,36773,51.89,24.00,-10.00
11-July-2008,695.00,700.00,658.00,668.20,672.524606000909228671,52792,1660,35503919.00,21385,40.51,42.00,-26.80
10-July-2008,711.00,725.00,685.00,687.80,695.052226642005962485,118407,1922,82299049.00,79976,67.54,40.00,-23.20
9-July-2008,698.00,730.00,675.00,707.10,694.984414114984795983,70705,2144,49138873.00,14973,21.18,55.00,9.10
8-July-2008,675.00,710.00,673.90,698.10,683.771256782674394644,189269,1185,129416702.00,154680,81.72,36.10,23.10
7-July-2008,660.00,699.00,650.00,691.70,682.020121645484074905,45871,1861,31284945.00,9096,19.83,49.00,31.70
4-July-2008,664.00,682.00,660.00,669.00,671.925586295703749951,25627,809,17219437.00,10380,40.50,22.00,5.00
3-July-2008,682.00,696.00,650.00,666.35,676.125797272102835835,30573,1354,20671194.00,5810,19.00,46.00,-15.65
2-July-2008,675.00,698.95,670.00,683.70,689.588555058319024190,112399,999,77509064.00,56521,50.29,28.95,8.70
1-July-2008,690.00,693.90,674.00,682.20,686.926953766721426895,51132,922,35123949.00,34070,66.63,19.90,-7.80
30-June-2008,680.10,697.90,672.00,682.80,683.949835487101235038,20971,1037,14343112.00,3254,15.52,25.90,2.70
27-June-2008,699.00,711.00,670.00,680.40,687.949930881014194679,29659,1550,20403907.00,4582,15.45,41.00,-18.60
26-June-2008,706.00,735.00,680.00,713.25,701.047890535917901938,26310,1532,18444570.00,2907,11.05,55.00,7.25
