Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-September-2010,3195.00,3224.00,3185.60,3194.25,3206.720997848127813738,348069,15303,1116160171.00,77245,22.19,38.40,-0.75
28-September-2010,3165.00,3208.00,3105.25,3190.25,3186.516027446206767076,330246,15489,1052334172.00,56233,17.03,102.75,25.25
27-September-2010,3155.50,3199.00,3148.60,3179.90,3182.067607320896968415,340614,15111,1083856776.00,71330,20.94,50.40,24.40
24-September-2010,3135.00,3157.00,3126.00,3144.30,3144.771164530359149361,384464,12802,1209051301.00,120675,31.39,31.00,9.30
23-September-2010,3158.15,3164.80,3126.00,3140.55,3144.696693417242883773,378185,18142,1189277119.00,43135,11.41,38.80,-17.60
22-September-2010,3115.00,3158.50,3100.00,3147.75,3131.646749139404365956,618467,23745,1936820170.00,154987,25.06,58.50,32.75
21-September-2010,3111.45,3129.05,3085.00,3104.25,3103.396265760267662641,300677,14705,933119879.00,38048,12.65,44.05,-7.20
20-September-2010,3115.00,3149.95,3075.00,3107.55,3097.211965957498563318,328883,13640,1018620363.00,58191,17.69,74.95,-7.45
17-September-2010,3105.00,3127.50,3081.00,3094.00,3098.581355428646882117,302930,15883,938653250.00,23527,7.77,46.50,-11.00
16-September-2010,3070.00,3142.50,3060.00,3100.05,3116.192103091662837293,1011915,43764,3153321532.00,118916,11.75,82.50,30.05
15-September-2010,3100.10,3121.85,3044.00,3060.65,3079.898731367072467288,527024,24583,1623180549.00,119896,22.75,77.85,-39.45
14-September-2010,3170.00,3170.00,3084.50,3113.70,3130.838848376208808616,729127,28784,2282779137.00,169179,23.20,85.50,-56.30
13-September-2010,2998.00,3175.00,2996.00,3147.25,3120.158659589949735704,924911,43457,2885869066.00,171941,18.59,179.00,149.25
9-September-2010,2900.00,2999.95,2900.00,2982.50,2959.245652170728742033,682697,29419,2020268129.00,135079,19.79,99.95,82.50
8-September-2010,2820.00,2910.00,2808.00,2894.20,2875.080032959798987405,663839,26767,1908590254.00,125183,18.86,102.00,74.20
7-September-2010,2865.00,2865.00,2824.00,2835.55,2841.025913267034697172,200708,9831,570216629.00,30032,14.96,41.00,-29.45
6-September-2010,2780.00,2871.95,2778.10,2858.75,2832.642856302639627346,340048,15630,963234538.00,70880,20.84,93.85,78.75
3-September-2010,2769.00,2789.00,2751.00,2773.50,2770.555649783276242420,180414,8711,499847027.00,13457,7.46,38.00,4.50
2-September-2010,2785.00,2805.00,2750.00,2758.10,2771.801562567819783844,230390,10113,638595362.00,40659,17.65,55.00,-26.90
1-September-2010,2772.00,2786.00,2738.75,2776.80,2766.366881021565435026,305257,13818,844452855.00,51079,16.73,47.25,4.80
31-August-2010,2795.00,2795.00,2744.80,2764.85,2763.718064195542919683,317966,15904,878768378.00,55399,17.42,50.20,-30.15
30-August-2010,2820.00,2830.25,2787.00,2801.30,2806.136654447758475444,263526,12672,739489968.00,15147,5.75,43.25,-18.70
27-August-2010,2878.00,2878.00,2788.70,2803.10,2831.482545319537038531,309745,14866,877037561.00,21101,6.81,89.30,-74.90
26-August-2010,2825.00,2884.00,2825.00,2865.10,2861.839349556436737429,517739,20816,1481685843.00,77034,14.88,59.00,40.10
25-August-2010,2848.00,2854.40,2815.20,2823.70,2833.343829288920694814,307420,12186,871026560.00,93493,30.41,39.20,-24.30
24-August-2010,2825.15,2853.90,2801.10,2846.95,2836.917793351458498066,461605,18260,1309535438.00,103048,22.32,52.80,21.80
23-August-2010,2781.00,2839.90,2770.10,2822.60,2807.952273148243429582,388712,15380,1091484744.00,66531,17.12,69.80,41.60
20-August-2010,2788.70,2830.75,2780.00,2783.65,2800.953489171536610519,290900,12919,814797370.00,38424,13.21,50.75,-5.05
19-August-2010,2799.00,2829.95,2780.00,2805.70,2801.752712206977754550,317638,14700,889943128.00,37072,11.67,49.95,6.70
18-August-2010,2827.45,2834.80,2766.00,2814.90,2800.320349048875944297,439480,17964,1230684787.00,79775,18.15,68.80,-12.55
17-August-2010,2825.00,2857.10,2811.40,2818.15,2832.447542400425481621,270752,11799,766890837.00,28621,10.57,45.70,-6.85
